URL: http://animexx.onlinewelten.com/datenbank-zuviel.phtml?them_id=1

Du siehst zuviel Sailor Moon, wenn...

... 	dein Papagei plötzlich beginnt, "Chibi Chibi" zu rufen. 	 Onkel_Montork
... 	dein Vater, immer wenn Sailor Merkur zum Einsatz kommt, "Wattebäuschchen fliegt!" ,ruft, um dich zu ärgern 	Space
... 	du dich im Chat Moonfan nennst 	Space
... 	Du meinst, Tamagotchis sind ein Trick, um den Menschen die Energie abzusaugen! 	Tiana
... 	du voll auf Misato abfährst, weil du bei usagi schon den Pony geliebt hast! ;) 	Kaji
... 	du deine Freundin immer noch dem IQ aussuchst und dann von ihr verlangst, dass sie sich die Haare blau färben soll! 	Kaji
... 	du deinen Nissan Serena verkaufst, weil du die amerikanische Version von Sailormoon gesehen hast.... 	kaji
... 	du immer noch Sailormoon Fanbist, obwohl du die Serie gar nicht mehr guckst. 	Kaji
... 	du unbedingt deinen Familiennamen mit dem deiner Freundin tauschen willst, weil die schließlich "Sailer" heißt. 	Minako
... 	du aus wirklich JEDEM Liebesfilm eine Haruka-Michiru Fanfiction machen kannst 	Jigen
... 	du versuchst dich mit deinem Schreibfüller zu verwandeln 	Hotau
... 	Du immer noch verzweifelt nach Deiner Hotaru Tomoe suchst. 	Gozaimasu
... 	du in Sailor Moon´s Welt leben willst. :) 	Banzei
... 	du, wenn dein Gasherd in die Luft springt schreist: "Feuerball flieg" 	ive
... 	bereits den gesammten Manga nachgezeichnet hast um gut genug zu werden um eine SM - Vortstzung zu zeichnen 	Fadoedeelay
... 	bereits den gesammten Manga nachgezeichnet hast um gut genug zu werden um eine SM - Vortstzung zu zeichnen 	Fiore
... 	du in jedem Jungen etwas von deinem EX-Freund siehst 	seri2
... 	du auch schon mir geknickten Beinen auf der Strasse stehst und wenn du dich dauernd absichtlich mit deiner Freundin streiten willst! 	Sarah-Zicke
... 	du deinen Freund mit "Taksido Mahask" ansprichtst und er sich daraufhin angewidert von dir abwendet 	Sushi
... 	du fest davon überzeugt bist, das du eine Prinzessin aus einem längst vergangenen Königreich bist 	SailorGalaxia
... 	an deinem 14 Geburtstag Vollmond ist, du rausgehst und "Macht der Mondnebel macht auf" rufst. (funktioniert nicht) ^_^ 	SailorGalaxia
... 	du UsagiHotaruAmiMichiruSetsunaChibi-Usa gerufen wirst!!!(Wie Ich) 	NeoSerenety
... 	du deinem Freund damit drohst, ihn Mamoru zu nennen ,wenn er dich nicht Bunny nennt 	Sabi-chan
... 	du von diese idioten schon so verückt bist, dass du sie nachts mit ner Shotgun jagst und ein parr Taxedomask's vom Dach hohlst 	Sailorhasser
... 	du deine Feundin (hallo, Arfy) davon abhalten willst, Saphir mit Rubeus zu verkuppeln. Oder Saphir mit Yaten und Seiya und Yaten etc... 	Shiva
... 	du in den Ferien morgen's um 7Uhr aufsehst um es auf rtl2 anzuschauen!! 	SailorGalaxia
... 	du deinem schwarzen Basketball ein Katzengesicht aufmalst, ihm zwei Ohren und eine Antenne aufklebst und nachdem du ihn in die Luft geworfen hast "Luna P, verwndle dich!" rufst. 	AngelNeptun
... 	Du dich bei Gewitter mit einer Antenne aufs Dach stellst und darauf wartest vom Blitz getroffen zu werden. 	Amy Mizuno
... 	du Dir nichts sehnlicher wünschst, als einmal an Harukas Brust zu liegen und ihr in die Augen zu schauen 	Eiloveu
... 	du versuchst mit dem nächstbesten Schlüssel durch die Zeit zu reisen 	Irene
... 	Du Deinen Freund beinahe verhaust, nur weil er sagt, daß Haruka ein Junge ist. 	April Eagle
... 	du immernoch der meinung bist das momoko chipiusa (in einer alteren version) oder minako (sie haztt sich die haare gefärbt) ist und du dir keine folge entgehen läst weil du ja so ein großer sailormoon fan bist. 	mina_nadine
... 	du mit einer Seifenblasenlösung im Garten stehst und schreist: Seifenblasen fliegt und siegt !!! 	wollig
... 	du vor jedem schwarzen anzug wegläufst, aus furcht taxedo mask ist es und könnte dir seine dummen sprüche aufsagen (uiii,was für´n alptraum...wer von euch mag den schandfleck auch nicht,dann mailt mir ^-^) 	asuka
... 	du dich in seiya verliebt hast 	asuka
... 	du eine Sailor Moon-Familie bei "Die Sims" zusammenstellst. :-))) 	Sylver
... 	du deiner Katze das ganze Fell schrarz und einen blonden Halbmond auf die Stirn färbst 	Peachilein
... 	du vor deinen Baby-Sitter-Kindern am Fernseher bist wenn du das Anfangslied hörst. 	Ruka
... 	du der Meinung bist das Zauberschloß auch ein deutscher Soundtrack ist. 	Fuyutsiki
... 	du dir solange FanFics reinziehst, dass deine Augen und dein Verstand dir sagen doch lieber eine Pause einzulegen, deine Lesesucht dies aber nicht zulässt. 	Harumi
... 	du dich in Klassenarbeiten genauso mies wie Bunny fühlst und du dir wünschst das Wissen von Ami zu haben. 	Harumi
... 	Du Deine Kinder anschreist: "Im Namen des Mondes werde ich Dich bestrafen!" (Ist mir tatsächlich einmal aus Versehen passiert.) 	Schatten
... 	du den jungen den du liebst nurnoch mit TokseedoMask ansprichst 	*********
... 	du dich für eine der Sailo Senshi hältst 	Lovey Mina
... 	du auf einmal Geige lernen willst , es tatsächlich tust und dann deinen Geigenlehrer erwügst weil er dir weismachen will , das du vieleicht doch erstmal mit Blockflöte anfang solltest 	Ataya Kimoku
... 	du Ekuku Nikola Elwitschbrawaki kennst (3.Folge Staffel SS) 	Shuwn
... 	du glaubst,dass sich MINAKO bei WEDDING PEACH bloß die haare pink gefärbt hat... 	Dark
... 	du jedem Lehrer der dir eine schlechte Note verpasst entgegnest, dass du ihn im Namen des Mondes bestrafen wirst ^;^ 	Miidori Fujimi
... 	du losheulst, nur weil du deinen Lutscher verloren hast. 	Sandra
... 	du Doc auf einen Cfae einladest 	Killer-King
... 	du deiner katze einen halbmond auf die stirn knallst und ihr das sprechen beibringst 	stefan
... 	du auf einmal Geige lernen willst , es tatsächlich tust und dann deinen Geigenlehrer erwügst weil er dir weismachen will , das du vieleicht doch erstmal mit Blockflöte anfang solltest 	Haru
... 	dich Telefone praktisch "verfolgen" wenn du mal wieder Mist gebaut hast 	Sailor Moondance
... 	du beim frisbee spielen immer "mondstein, flieg und sieg..." rufst 	parya&sana
... 	du dir die Haare blondierst, deine Freundin dich ab sofort nur noch Haruka ruft und du genau darauf hinauswolltest! 	Ruka
... 	du in ALLES, aber auch wirklich ALLES Haruka und Michiru hineininterpretieren kannst. Beim Horoskope lesen z. B. - da tun sich Welten auf sag ich euch!! 	Ruka
... 	du Shinji aus EVA nur deswegen erträglich findest weil er von Megumi Ogata gesprochen wird. Diese Stimme......*schmelz* ^_^ 	Ruka
... 	du von Natur aus den Pony von Haruka hast! 	Ruka
... 	du auf einem Cosplay der Haruka hinterherschleichst und die insgeheim denkst "Hey, die sieht mir gar nicht ähnlich!". 	Ruka
... 	du völlig davon überzeugt bist eine Verbindung zum Wind zu haben, und dann auch noch ein Mega-Sturm aufkommt weil du sauer bist. Das baut auf Leute! 	Ruka
... 	Dein Videorecorder außer Sailor Moon Cassetten, alle anderen wieder ausspuckt 	Janina
... 	du dauernd zu spät kommst, weil du nur noch am Fressen bist und sofort losheulst, wenn dir jemanda das Essen wegnimmt. 	AIKA-chan
... 	du dir einen Nissan SERENA kaufst. 	Shiva
... 	du versuchst Leuten auf der Straße ihr reines Herz zu stehlen in der Hoffnung einen Talisman zu finden! 	Harumi
... 	du wünschst dich genauso wie Sailor Moon verwandeln zu können - allerdings männlich bist (das muss allerdings nicht zwangsläufig mit Sailor Moon zu tun haben...) 	Lunaticum 666
... 	du deine Tochter Bunny nennst 	Philipp Kalde
... 	du dich neben deine Katze setzt und verzewifelt versuchst mit ihr zu reden. 	GlowWorm
... 	du "Mächte aller Zeiten, lasst die Liebe sich verbreiten!" sehr Ernst nimmst, dichselbst als die fleischgewordene Liebe betrachtest und daraufhin anfängst, massenhaft Schockolade zu fressen. 	Korilon
... 	du versuchst mit deinem Haustürschlüssel durch die Zeit zu reisen und auf die Wächterin der Zeit, Sailor Pluto, zu treffen 	Anastasia
... 	sogar Deine Arbeitskollegen Dich Seiya rufen, Du einen eigenen FanClub hast und zwei Schwestern/Brüder die Taiki und Yaten gerufen werden 	Seiya
... 	du einen Jungen siehst, der genau so aussieht wie dein EX 	JUPITER
... 	du bei Gewitter immer denkst, dass Sailor Jupiter gerade einen Kampf bestreitet. 	Silence
... 	du zum Nordpol reist um die Eisgräber der Inner Senshi suchst um den Retterinnen der Welt zu gedenken 	Miss Kiss
... 	du krampfhaft weigerst zum Zahnarzt zu gehen weil du der festen Überzeugung bist, dass dir dort dein Traumspiegel gestohlen wird 	Miss Kiss
... 	du glaubst der defekte Aufzug im Haus deiner Freundin sei der geheime Eingang zu Sailor Galaxias Basis 	Miss Kiss
... 	du findest, dass Hagens Oberkommandantinnen aus "Agent Aika" so aussehen wie Merkur und Pluto. (was meint ihr?) 	Shiva
... 	du dir bei Napster alle japanischen Sailor Moon Songs runterlädst und sie schon alle auswendig kannst (zumindest teilweise) DANKE NAPSTER!!! ^_^ 	Shiva
... 	du dir auf dem Flohmarkt haargenau den gleichen Spiegel wie Sailor Neptun kaufst. (kein Witz, ich hab so einen *froi*) 	Shiva
... 	du in jeder Spielhalle einen Automaten suchst der mit den Worten "Naschkatze will Reiskuchen" eine Verbindung zu Artemis aufbaut 	Miss Kiss
... 	du meinst deine kleine Schwester solle nach diesem geflügelten Einhorn schreien, damit du ja nicht mit dem Fahrrad zur Schule mußt 	nukunuku
... 	du vier 10-jährige Freundinnen hast, die den ganzen Tag in einem roten,blauen,gelben und grünen Bikini rumlaufen und gerne Billiard spielen (und auch noch in einem Zirkus aufgewachsen sind)! 	Chun Li's Brother
... 	du ernsthaft überlegst dir die Haare türkis zu färben und immer die Hand am Kinn hast wenn du /lachst/lächelst/überlegst/eigentlich immer *gg* (das zweite ist bei mir schon routine....) 	ionis
... 	du täglich in den Himmel Starrst, in der Hoffnung, Haruka könnte mal aus ihrem Element fallen...(*gg* bringt leider nichts) 	ionis
... 	du dich fragst warum die Fernsehleute das "K" bei Arabian Nights ausgelassen haben (ihr wisst schon, der Ritter des Mondlichts). 	Leli-san
... 	du deiem weißen Pferd ein goldenes Horn auf die Stirn klebst und dann jedem erzählst, es sei der Wächter des goldenen Kristalls, dessen Seele sich in einem Pferdekörper versteckt. 	haruka´s child
... 	du jedem gutaussehenden Jungen auf der Straße deinen Schuh auf den Kopf schmeißt, nur um zu wissen, ob er vielleicht einmal dein Freund werden könnte!!! 	haruka´s child
... 	deine Kriegsdienstverweigerung auch von Eternal Sailor Moon sein könnte. 	Kakeru
... 	du jeden Tag eine Szene nacherzählst, und dich dann immer wieder kaputt. 	Terra
... 	du beim Billiardspielen versucht deine Freunde mit einer Kugel in den Rücken zu treffen, nur um ihren Traumspiegel sehen zu können. 	Wuko
... 	du deine Freundin mit den Worten "Hallo,Schätzchen!" begrüßt 	Seiya
... 	du nicht mehr zu Kostümpartys eingeladen wirst, weil du immer nackt im Vorgarten rumturnst, bevor du deinen Sailor Fuku überziehst! 	chab
... 	Du Deiner Katze auf den Kopf schlägst und sagst Luna-P verwandele Dich! 	Alexa
... 	du alle Sailorkrieger blind zeichnen kannst 	Kodachi
... 	du deine katze blauschwarz anmalst, ihr einen mond auf die stirn klebst und erwartest das sie dir einen verwandlunsfüller herbeispringt. 	simmi
... 	du dich geschnitten hast und behauptest,dass Tuxedo Mask dich mit seiner Rose getroffen hat. 	Sailor Sun
... 	du versuchst deinen eingegangenden Baum mit Liebe wiederzu beleben 	Hikaru-chan
... 	du eine Tochter mit rosa Haaren hast und dauernt kleine Ausgaben von dir zu dir Kommen 	Kakyu
... 	deine Katze salto springt und du dich wunderst wo denn auf einmal die Brosche herkommt 	babsi
... 	deine Lehrer mit Bannzettel beklebst 	babsi
... 	du, um eine Tür zu öffnen, einen Großen Stab mit roten Stein an der Spitze ,benutzt 	babsi
... 	du als Mordwaffe die Sense der Stille benutzt 	babsi
... 	du "Das ist wunderschön,ist das etwa Liebe?" bei Anblick eines verletztem,fast strebenden,am Boden liegendem und weinendem Liebespaars feststellst!(man siehe Ail) 	Nimue
... 	du verzweifelt versuchst deinen Ex mit Luftküsschen zu töten und dabei "Macht der Herzen fliegt schreist" 	Alienor
... 	du andauernd versuchst die Attacken nach zu machen und es an deine Mitschüler ablässt*die denken du bist bescheuert* 	Mega Man X
... 	du andauernd "Ich will doch nur ein ganz normales Mädchen sein!" brüllst, obwohl du ein Mann bist! 	Wuko
... 	du einem Jungen, den du nicht leiden kannst Lippenstift ins Gesicht schmierst und er Yaten heißt... 	ionis
... 	du in gegenwart deiner Freundin dauert irgend welche anspielungen machst und nur du sie verstehst. 	ionis
... 	du dann wirklich den Pony von Haru hast... 	ionis
... 	du dutzende Dosen Haarspray verbrauchst um deinen Pony irgend wie so hin zu bekommen wie Haruka. 	ionis
... 	du deine Mutter bestrafen möchtest weil sie rote Harre hat und du siefür Perilia hälst 	Hikaru-chan
... 	du dir zwei baby-blaue Bändchen ins Gesicht pickst, damit du so gut aussiehst wie Alumina-seren. 	Kitany
... 	du der Meinung bist, die jap. Firma Mizuno wär eine Anhäufung von Sailormoon Fan's 	Ami-Chan
... 	du nicht mehr mit dem 6Uhr Bus fährst, weil du der Meinung bist, er würde von Jedyte entführt werden. 	Wuko
... 	du der Meinung bist, daß der Anschlag auf Prinzessin Diana das Werk von den Bösen ist und eigentlich Prinzessin Serenity gegolten hat! 	Wuko
... 	du glaubst, daß deine Katze beleidigt auf dich ist, weil sie nicht mit dir spricht! 	Wuko
... 	du mit dem Auto immer links fährst, nur weil in Japan auch Linksverkehr ist... 	Shiva
... 	du als Mann zu deiner neuen Freundin sagst: "Soll ich dir mal meinen Mondstab zeigen?" 	Shiva
... 	du über Nacht deinen Taschenspielgel ans Fenster ins Mondlicht legst, weil du glaubst, daß er sich auflädt. (Sailor V Manga) 	Wuko
... 	du eine Anzeige vom WWF bekommst, weil du dein Pferd weiß angemalt und ihm ein Plastikeinhorn und gefälschte Flügel angeklebt hast, nur damit es mehr Ähnlichkeit mit Pegasus hat. 	Wuko
... 	du die Zeit zwischen Ende der letzten und Anfang der nächsten Folge dazu nutzt dir die anderen Folgen auf Video anzusehen. 	Wuko
... 	du Stephen Spielberg dazu bringst einen Reality-Sailor Moon Film zu drehen, wo DU die Hauptrolle spielst! 	Wuko
... 	du vor dem Schaufenster einer Konditorei stehst, auf der Flöte spielst und dich wunderst warum die Süßigkeiten nicht anfangen zu tanzen. 	Serenity
... 	du diese Liste ausdruckst, in die Toilkette legst, als kleine Lektüre und du dann stundenlang auf dem KLo hockst nur um die Liste zu lesen. 	Serenity
... 	du dich darüber freust, daß dir plötzlich fremde Menschen auf der Straße sagen, daß du eine "weiche Birne" hast! 	Wuko
... 	du Toei Animation´s anflehst sie sollen deine Fanfic zeichen. 	Serenity
... 	du nach einem Erdbeben deinen Planeten mit Prinzessin Kakyu wiederaufbauen willst 	sailoroli
... 	dir deine Freunde andauernd sagen, daß du dir ein Sprichwörter-Lexikon kaufen sollst. 	Wuko
... 	du mit deiner Freundin Schluß machst, nur weil dir jemand im Traum sagt, daß ihr sonst etwas schreckliches zustoßen wird. 	Wuko
... 	du in der Fußballnationalmannschaft im WM-Finale spielst, plötzlich den Ball aufhebst und laut schreist: "Luna P verwandel dich!" 	Wuko
... 	du dir Spiralen auf deine Brillengläßer malst, nur um mehr Ähnlichkeit mit Umino zu haben. 	Wuko
... 	du bei jeder Sonnenfinsternis glaubst die ganze Welt wird in Dunkelheit getaucht und Nehelenia kommt aus deinem Badezimmerspiegel! 	Umi
... 	du dir ein Luna P bastellst um nicht allein in die Vergangenheit reisen zu müssen! 	Umi
... 	du auf deinen Spiegel ein Neptun-Zeichen draufmalst. 	Umi
... 	du einem Antiquitätenhändler ein Vermögen für einen alten Handspiegel anbietest, weil du glaubst es ist Neptun's Spiegel. 	Umi
... 	du dir Karies anzüchtest , damit du Angst vor der Zahnklinik habe kannst! 	Umi
... 	du HIM-Fan wirst, nur weil Du findest, dass Ville Valo Mamoru ähnlich sieht. 	Ami666
... 	...Du jeden Spiegel zerstörst,weil Du glaubst,daß Nehelenia sich darin versteckt 	Sailor Wolf
... 	du einen großen Bogen um jeden Zirkus machst. 	Wuko
... 	du nur mehr von Einhörnern träumst und dich tagsüber versteckst, weil du Angst hast, dir könnte jemand die Träume stehlen. 	Wuko
... 	du keine Waldspaziergänge mehr machst, weil du bei jedem Baum glaubst, daß er dir die Energie absaugen will. 	Wuko
... 	du im Dartcafe mit Rosen statt mit Pfeilen auf die Scheibe wirfst. 	Wuko
... 	du jede Nacht, mit der Flöte spielend, durch die Stadt läufst und dich wunderst, daß dir keine Kinder folgen. 	Wuko
... 	du Astronaut wirst, nur um in die Umlaufbahn zu fliegen und dann auf dem nächstbesten Asteroid wieder zur Erde reitest. 	Wuko
... 	du einen Brief an die NASA schreibst und in dem drin steht das es noch einen Planeten gibt der Mermaid heist! (Aluminum Sirens Planet, steht im Manga) 	Michiruchan
... 	ihr zu viert durch die Stadt geht und die ganze Zeit den gleichen Spruch ablässt: Träum niemals von den Träumen der Erwachsenen. denn wirklich ware Träume haben ganz allein die Kinder 	Michiruchan
... 	deine Nachbarn sich fragen warum du inmitten eines Erdbeben stehst. 	Michiruchan
... 	Dein Englisch-Lehrer sich nach dem Ruf "Macht des Mondes..." dein Englisch-Lehrer in einen Stapel Englischbücher verwandelt 	Sailor Wolf
... 	Du im Cardian-Kostüm zum Anime-Treff gehst, und dort "zurückverwandelt" wirds ! (1 Woche Krankenhaus inklusive.) 	Diogenes
... 	Du am Halloween durch die Strassen rennst, um die auf einmal so zahlreichen "Monster" ,zu vernichten! 	Diogenes
... 	Du im Theater bei Goethes "Faust" den Mephisto-Darsteller, mit einer Sailorattacke ausschaltest ! 	Diogenes
... 	dein ganzes Zimmer voll mit Sailormoonposter ist und du auch nicht vor Boden, Decke und 10cm Lücken zurückschreckst (Insider). :-) 	Kitany
... 	du eine Bank ausraubst, um eine Mondfahrt zu buchen, um einmal in deinem Leben die Ruinen von dem Reich des Silberjahrtausends zu sehen. 	Kitany
... 	du zwischen 5 und 20 Meter hoch springen kannst. 	Kitany
... 	du genau so viel darüber weißt und auch so viel Mist verzapfst wie die anderen Freaks auf dieser Seite! 	Nikolai
... 	Du deiner Katze einen Halbmond an die Stirn klebst und versuchst dich mit ihr zu unterhalten. 	Redcrow
... 	...du deine Schule für das Hauptquartier der Deathbusters hältst und deine Mathe-Lehrerin für Kaorinight...und damit recht hast 	Sailor Wolf
... 	DU Dich selbst umbringst, weil Du ja ganz genau weißt, daß Du widergeboren wirst. 	Marco
... 	Du bei deinem lieblings Italiener eine Pizza Makoto bestellst! 	Lord Elend
... 	du eine Popgruppe, die nur aus drei männlichen Mitgliedern besteht, als die Threelights bezeichnest. 	iruka
... 	du enttäuscht aus dem Musical 'Starlight Express' verschwindest weil keiner der Charaktere Seiya, Taiki, Yaten, Fighter, Maker oder Healer heißt. 	HomerJ
... 	du ständig deinen Hausschlüssel in die Luft streckst, weil du ins 30. Jahrhundert willst. 	Microchip
... 	du deinen Freund Mamoru oder Endymion nennst und er noch auf den Namen hört 	Star
... 	du dir jedes EM Spiel der Italiener anguckst weil mit der Nr 18 'FIORE' aufläuft. 	HomerJ
... 	du dich mit Plutonium bestrahlen lässt, nur damit du dich in Sailor Pluto verwandeln kannst. 	Shiva
... 	du ernsthaft an ein Crossover zwischen Sailor Moon und Countdown denkst 	Curzon
... 	du mehr als 12 Unterschiede zwischen Minako Aino und April Eagle aus Saber Rider aufzählen kannst. 	HomerJ.
... 	du mit deiner Katze sprichst (und sie dir auch noch antwortet...) 	Angel
... 	deine Schulhefte mit Sailor Senshi gespickt sind. (sollen die anderen denken, was sie wollen...) 	Shiva
... 	du dir einen Freund wünschst, der genau wie Mamoru ist. (der is' aber auch lieb:-)) 	Shiva
... 	du jeden Wecker erstmal zerlegst, bevor du ihn kaufst. 	Shiva
... 	du kein Fitnessstudio mehr betrittst, weil ja das KdD seine Hand im Spiel haben könnte. 	Shiva
... 	du zum Goldschmied gehst, um dir die gleiche Rüstung wiw Galaxia anfertigen zu lassen. 	Shiva
... 	sogar auf deiner Unterwäsche Sailor Moon drauf ist. 	Shiva
... 	dein Regal die Last deiner selbst aufgenommenen Videocassetten nicht mehr aushält. 	Shiva
... 	du jeden rothaarigen Mann abschlachten willst, weil du ihn für Rubeus hältst. 	Shiva
... 	du deinen Kopf mit einem Vorschlaghammer marträtierst und die Beule golden anmalst, nur um wie Helios auszusehen. 	Shiva
... 	du bei RTL II nach der Autogrammadresse der Sailor Senshi fragst. 	Shiva
... 	du dich an eine Harfe setzt und schreist: "Merkur! Macht des Wassers, sieg!!!" 	Shiva
... 	du mit deiner Freundin im NeoTokyo stehst, hinter euch zwei kleine Mädchen diskutieren ob ihr Haruka und Michiru seid oder nicht, und dir DAS NICHT KOMISCH VORKOMMT! 	ChibiRuka
... 	dich deine Freundin Haruka nennt, und dir das nichtmal komisch vorkommt. 	ChibiRuka
... 	du 30 Sekunden den Mondstab von Eternel Sailor Moon in der Hand drehen und ihn dabei in die andere Hand wechsel kannst 	|Sniper|
... 	du wildfremde Kinder auf der Straße anspricht, weil sie Dir ähnlich sehen, nur weil du deine zukünftige Tochter/dein zukünftiges ich finden willst 	Bunny
... 	du auf dem Mond reist um nach den Ruinen des Silberkönigsreichs zu suchen UND SIE FINDEST!!!! 	BunnySan
... 	du denkst, dein Vater ist ein Bösewischt und du versuchst, ihn durch die Macht des Mondes zu vernichten. 	Kamikaze13
... 	du alle Spielhallen Europas abgrast, auf der Suche nach einem Spielautomaten, der als Preis,(oder wenn man dagegen tritt), einen Verwandlungsfüller ausspuckt! ^_° 	Indimoon
... 	sich tatsächlich jemand vom Mond meldet und dir einen Verwandlungsfüller gibt! 	Indimoon
... 	du in die nächste Spielhalle stürmst und alle Automaten mit "NASCHKATZE WILL REISKUCHEN!!!" anbrüllst 	Indimoon
... 	dein Berufsziel ist Japaner zu werden 	Sailor Phoenix
... 	du bei jedem Flugzeug, dass du siehst denkst, dass Rubeus zurück gekehrt ist und du durch deine Armbanduhr deine Freund um Hilfe rufen willst 	Sailor Phoenix
... 	du dir keine Videokassetten von Sailor Moon kaufen brauchst, weil du ohnehin alle Folgen aufgenommen hast 	Sailor Phoenix
... 	du auf einem Ball einen Mann im Smoking und Zylinder siehst, zu ihm hinrennst und ihm versuchst weiß zu machen das er früher mal Prinz Endymion war und du Prinzessin Serenity 	BunnySan
... 	du mitten in der Stunde deinen Stift in die Hand nimmst und ihn hoch hälst und schreist: "Verwandle mich in eine gut aussehende Schülerin!!!" 	Josefine
... 	du ein Tennisball wirfts, und schreist "Tauboga, flieg und sieg"!! 	Rincestone
... 	du versuchst ein Pokemon mit ''Macht des MOONDES VERWANDLE ES ZURÜCK!'' zurückzuentwickeln 	The Lordman
... 	du sagst: "Schockwelle der Ahnen, flieg!!!!!!" 	Kakeru Ozora
... 	du deinen Lehrer mit "Weiche böser Geist..." begrüßt. 	Kakeru Ozora
... 	du ein Bild von Usagi oder einen der anderen Senshi staendig mit die heruntraegst. 	Sascha Albert
... 	ein Bild von Usagi sich in dein Monitor eingebrannt hat. 	Sascha Albert
... 	du Independence Day siehts und denkst "Oh! Hat Rubeus ein neues Raumschiff?" 	SailorCM
... 	....du mit einer Taschenlampe das Licht der Hoffnung erzeugen willst 	Silvermoon
... 	du eine Hand voll Eichenblätter nimmst und rufst: "Jupiter - Macht des Donners, sieg!" 	CIV
... 	du mit Steinen um dich wirfst und dabei rufst: "Mondstein flieg und sieg". 	Maik
... 	du auf einmal einen IQ von 300 hast ( wie Ami). 	MSernity
... 	du versuchst, mit jedem Schlüssel das Tor zu Raum und Zeit zu öffnen!! 	DOC
... 	du deiner Mutter Vorwürfe machst warum sie keinen Japaner geheiratet hat und dich nicht Mako getauft hat. 	DOC
... 	du deinen Freund zwingst eine ultradicke Brille zu tragen obwohl er mit dem Titel "Falkenauge" berühnt ist! 	DOC
... 	du von George Lucas zwingst, den "Sailor Krieg" oder "Krieg der Sailor" zu verfilmen. 	DOC
... 	du zu müde bist um Frühstück zu machen und rufst "Mächte aller Zeiten, lasst Cornflakes sich verbreiten!" 	DOC
... 	du dir im Sportunterricht einen Diskus schnappst und mit den Worten "Mondstein, flieg und sieg" deinen bösen Kardian-Lehrer tötest. 	DOC
... 	du jede violette Blume zertrampelst, weil du meinst es wär' eine von Xenian. 	DOC
... 	du jedem schwarzhaarigen und blauäugigen Typen auf der Straße selbstgemalte Bilder von einem gemeinsamen früheren Leben zeigst. 	DOC
... 	du den Mund so weit aufmachen kannst, daß ein Kürbis darin Platz finden könnte. 	DOC
... 	'Faulheit siegt!' auch Dein Lebensmotto ist. 	DOC
... 	du glaubst, ein Jediritter zu sein und darauf wartest, das du von Luke Skywalker abgeholt und ausgebildet wirst und vorhast, danach zur Erde zurückzukehren um die Sailorkrieger zu unterstützen. 	DOC
... 	du deine Wäsche nur noch mit "Rei" wäschst... 	DOC
... 	du beim Gotchaspielen rufst "UND IM NAMEN DES MONDES WERDE ICH DICH BESTRAFEN!!!" 	DOC
... 	du beim Eintreten eines Lehrers in den Klassenraum jedesmal aus vollem Halse schreist: "Weiche böser Geist!" 	DOC
... 	du über Leichen gehen würdest,um Sailor Moon zu gucken. 	DOC
... 	du fliegst zum Mond, nur um einen Mondstein zu haben. 	DOC
... 	du mit einem 14.400 bps Modem eine 1000Mb große Sailor Moon-Datei auf deinen Computer downladest. 	DOC
... 	wenn du im Geschichtsuntericht nach dem Silberjahrtausend fragst und dein Lehrer auch noch anfängt DAVON ZU ERZÄHLEN (die erste interessante Stunde ;-)! 	DOC
... 	du deine Mutter zwingst, sich einen Halbmond auf die Stirn tätowieren, und die Haare lila färben zu lassen , nur um bei den Moonies anzugeben, deine Mutter sei Königin Serenity. 	DOC
... 	du dich auf komische Weise zur Steckdose hingezogen fühlst, reinlangst und rufst: "Donnerschlag, flieg!" 	DOC
... 	du deiner Kunstlehrerin beibringst, Mangas zu zeichnen. 	DOC
... 	du versuchst, Serenity Immobillien, das Silbermillenium abzukaufen. 	DOC
... 	du eine Pflanzenphobie bekommst, weil du Angst hast, es könnten der Baum der dunklen Macht, eine Kisenian- oder eine Telulu-Pflanze sein. 	DOC
... 	du dich für Chibiusa hälst und alle schwarzhaarigen Mädchen auf der Straße ansprichst, in der Hoffnung, es könnte die Wiedergeburt von Hotaru Tomoe sein. 	DOC
... 	du mit 16 Jahren 180 km/h auf der Landstraße fährst und dem dich anhaltenden Polizisten erklärst, daß du deinen Führerschein im Ausland gemacht hast wie Haruka. 	DOC
... 	du beim Wegschnippen deiner Zigarette rufst:"Kippe flieg und sieg." 	DOC
... 	du deinen Wecker extra eine halbe Stunde später stellst, weil dein Idol Bunny ist. 	DOC
... 	du wie Sailor Moon versuchst, vom Dach deines Hauses zu springen, und dann dich wunderst, wenn du im Krankenhaus liegst. 	DOC
... 	du selbst eine Taschenlampe für den Heiligen Gral hälst. 	DOC
... 	man sich die gesamte Liste reinzieht und vor lauter Spannung vergisst offline zu gehen! 	DOC
... 	du verzweifelt versuchst einen Textconverter für deinen PalmPilot zu finden nur um dir die Fanfics auch unterwegs durchlesen zu können (ohne Tonnen von Papier zu benutzen). 	DOC
... 	du morgens in den Spiegel schaust und feststellst, daß du genau wie Sailor Merkur aussiehst. 	DOC
... 	du alles tust, was wildfremde Katzen dir sagen. 	DOC
... 	du im Schlaf von Sailormoon redest (z.B. "Kunzite, warte doch mal!","Ich soll eine Prinzessin sein", etc.) 	DOC
... 	du an deiner ersten Fanfiction schreibst und schon Ideen für deine fünfte hast. 	DOC
... 	du alle, die dir doof kommen, mit Blitzen, Feuerbälle, Halbmondstrahlen oder Seifenblasen bewirfst. 	DOC
